Germany;Partner;year;e&i;Number
Germany;Poland;2017;124726236.22;22
Germany;Portugal;2017;17167868.48;23
Germany;Romania;2017;34007128.78;24
Germany;Slovak Republic;2017;31527823.58;25
Germany;Slovenia;2017;12839469.42;26
Germany;Sweden;2017;47748788.62;27
France;Austria;2017;11771508.74;28
France;Belgium;2017;77767720.1;29
France;Bulgaria;2017;2159836.7;30
France;Cyprus;2017;285517.56;31
France;Czech Republic;2017;13061757.83;32
France;Germany;2017;174692093.21;33
France;Denmark;2017;6310550.58;34
France;Spain;2017;79613552.15;35
France;Estonia;2017;762868.28;36
France;Finland;2017;5017129.04;37
France;United Kingdom;2017;66174042.91;38
France;Greece;2017;3069595.58;39
France;Croatia;2017;832021.63;40
France;Hungary;2017;8575594.27;41
France;Ireland;2017;10756528.23;42
France;Italy;2017;86782826.57;43
France;Lithuania;2017;1440410.69;44
France;Luxembourg;2017;4260739.79;45
France;Latvia;2017;563268.55;46
France;Malta;2017;904653.38;47
France;Netherlands;2017;47881771.3;48
France;Poland;2017;21688177.57;49
France;Portugal;2017;12188166.84;50
France;Romania;2017;8790268.95;51
France;Slovak Republic;2017;8011271.06;52
France;Slovenia;2017;2802704.67;53
France;Sweden;2017;12279634.52;54
